UNO
1.8.19


ping2cm.ino
FASTMATH_LIB_VERSION: 0.2.1

pingRef	38.7176
ping2cm	5.8472
ping2mm	7.4188
ping2cm32	35.7748
ping2mm32	34.8948

=======================================

verify - 16 bit
100	3.4	5	1.47		34.0	35	1.03
110	3.7	5	1.34		37.4	37	0.99
121	4.1	5	1.22		41.1	41	1.00
133	4.5	6	1.33		45.2	47	1.04
146	5.0	6	1.21		49.6	51	1.03
160	5.4	7	1.29		54.4	56	1.03
176	6.0	7	1.17		59.8	61	1.02
193	6.6	8	1.22		65.6	67	1.02
212	7.2	8	1.11		72.1	73	1.01
233	7.9	9	1.14		79.2	79	1.00
256	8.7	10	1.15		87.0	90	1.03
281	9.6	10	1.05		95.5	97	1.02
309	10.5	11	1.05		105.1	106	1.01
339	11.5	12	1.04		115.3	116	1.01
372	12.6	13	1.03		126.5	127	1.00
409	13.9	14	1.01		139.1	140	1.01
449	15.3	16	1.05		152.7	154	1.01
493	16.8	17	1.01		167.6	167	1.00
542	18.4	19	1.03		184.3	185	1.00
596	20.3	21	1.04		202.6	204	1.01
655	22.3	23	1.03		222.7	223	1.00
720	24.5	25	1.02		244.8	246	1.00
792	26.9	27	1.00		269.3	271	1.01
871	29.6	30	1.01		296.1	296	1.00
958	32.6	32	0.98		325.7	325	1.00
1053	35.8	36	1.01		358.0	359	1.00
1158	39.4	40	1.02		393.7	395	1.00
1273	43.3	43	0.99		432.8	432	1.00
1400	47.6	47	0.99		476.0	476	1.00
1540	52.4	53	1.01		523.6	526	1.00
1694	57.6	57	0.99		576.0	576	1.00
1863	63.3	63	0.99		633.4	634	1.00
2049	69.7	71	1.02		696.7	699	1.00
2253	76.6	77	1.01		766.0	766	1.00
2478	84.3	84	1.00		842.5	842	1.00
2725	92.7	93	1.00		926.5	927	1.00
2997	101.9	101	0.99		1019.0	1019	1.00
3296	112.1	112	1.00		1120.6	1121	1.00
3625	123.3	123	1.00		1232.5	1233	1.00
3987	135.6	134	0.99		1355.6	1356	1.00
4385	149.1	150	1.01		1490.9	1492	1.00
4823	164.0	164	1.00		1639.8	1639	1.00
5305	180.4	180	1.00		1803.7	1803	1.00
5835	198.4	198	1.00		1983.9	1983	1.00
6418	218.2	218	1.00		2182.1	2183	1.00
7059	240.0	239	1.00		2400.1	2400	1.00
7764	264.0	263	1.00		2639.8	2640	1.00
8540	290.4	290	1.00		2903.6	2904	1.00
9394	319.4	319	1.00		3194.0	3194	1.00
10333	351.3	351	1.00		3513.2	3513	1.00
11366	386.4	386	1.00		3864.4	3864	1.00
12502	425.1	425	1.00		4250.7	4250	1.00
13752	467.6	466	1.00		4675.7	4675	1.00
15127	514.3	513	1.00		5143.2	5143	1.00
16639	565.7	566	1.00		5657.3	5655	1.00
18302	622.3	621	1.00		6222.7	6221	1.00
20132	684.5	684	1.00		6844.9	6845	1.00
