BOARD:    UNO R3
IDE:      1.8.19


kurtosis_histogram\kurtosis_histogram.ino
KURTOSIS_LIB_VERSION: 0.1.4

K1 (reference)
COUNT:	10000
MEAN:	49.7185
VAR:	837.7031
STDDEV:	28.9431
SKEW:	-0.0152
KURT:	-1.2061

0	114
1	101
2	92
3	101
4	89
5	107
6	95
7	100
8	93
9	93
10	105
11	94
12	108
13	97
14	106
15	111
16	104
17	99
18	86
19	117
20	121
21	88
22	95
23	109
24	98
25	83
26	93
27	103
28	97
29	94
30	81
31	99
32	98
33	105
34	109
35	93
36	100
37	96
38	91
39	106
40	99
41	75
42	88
43	98
44	108
45	96
46	93
47	102
48	113
49	93
50	98
51	101
52	103
53	101
54	101
55	87
56	106
57	120
58	108
59	92
60	103
61	113
62	107
63	110
64	93
65	95
66	102
67	90
68	95
69	117
70	98
71	108
72	87
73	94
74	93
75	112
76	96
77	99
78	92
79	130
80	90
81	113
82	76
83	107
84	102
85	108
86	89
87	114
88	93
89	100
90	92
91	108
92	106
93	100
94	109
95	107
96	117
97	96
98	88
99	98
