Board: UNO
IDE:   1.8.19

DHT20_I2C_speed.ino
DHT20 LIBRARY VERSION: 0.2.2


NOTE: datasheet states 400 KHz as maximum.

50000	0	48.7	17.3
100000	0	48.7	17.3
150000	0	48.7	17.3
200000	0	48.6	17.3
250000	0	48.6	17.3
300000	0	48.6	17.3
350000	0	48.6	17.3
400000	0	48.6	17.3
450000	0	48.6	17.3
500000	0	48.6	17.3
550000	0	48.6	17.3
600000	0	48.6	17.3
650000	0	48.6	17.3
700000	0	48.6	17.3
750000	0	48.6	17.3
800000	0	48.6	17.3

50000	46916	48.6	17.4
100000	44600	48.6	17.4
150000	44264	48.6	17.3
200000	43996	48.6	17.3
250000	44308	48.6	17.3
300000	43624	48.6	17.3
350000	44248	48.6	17.3
400000	44040	48.6	17.3
450000	43724	48.5	17.4
500000	43612	48.6	17.3
550000	43388	48.6	17.4
600000	43204	48.6	17.4
650000	44200	48.6	17.3
700000	44108	48.6	17.4
750000	43984	48.6	17.4
800000	43984	48.5	17.4

50000	1576	48.6	17.3
100000	836	48.6	17.4
150000	588	48.5	17.3
200000	472	48.6	17.4
250000	400	48.5	17.3
300000	336	48.6	17.4
350000	296	48.6	17.4
400000	284	48.6	17.3
450000	252	48.6	17.4
500000	244	48.6	17.3
550000	228	48.6	17.4
600000	216	48.6	17.3
650000	204	48.6	17.3
700000	200	48.5	17.4
750000	188	48.6	17.4
800000	188	48.6	17.4

done...
