BOARD:    UNO R3
IDE:      1.8.19


Arduino\libraries\MultiMap\examples\multimap_BS_compare\multimap_BS_compare.ino
MULTIMAP_LIB_VERSION: 0.3.0

size	t1	t2	ratio
4	5588	5600	100.21
5	6160	6200	100.65
6	6756	6820	100.95
7	7368	7448	101.09
8	7992	8076	101.05
9	8636	8700	100.74
10	9308	9344	100.39
11	9996	9996	100.00
12	10700	10644	99.48
13	11424	11288	98.81
14	12172	11944	98.13
15	12936	12588	97.31
16	13724	13232	96.42
17	14524	13884	95.59
18	15348	14552	94.81
19	16192	15224	94.02
20	17052	15892	93.20
21	17936	16564	92.35
22	18836	17232	91.48
23	19748	17904	90.66
24	20688	18580	89.81
25	21648	19252	88.93
26	22624	19928	88.08
27	23620	20592	87.18
28	24644	21260	86.27
29	25680	21936	85.42
30	26728	22608	84.59
31	27804	23276	83.71
32	28896	23952	82.89
33	30008	24628	82.07
34	31140	25320	81.31
35	32296	26008	80.53
36	33464	26700	79.79
37	34652	27396	79.06
38	35864	28088	78.32
39	37096	28780	77.58
40	38340	29476	76.88
41	39612	30164	76.15
42	40900	30860	75.45
43	42204	31556	74.77
44	43532	32252	74.09
45	44880	32944	73.40
46	46244	33640	72.74
47	47624	34336	72.10
48	49032	35028	71.44
49	50452	35724	70.81
50	51900	36420	70.17
51	53356	37108	69.55
52	54844	37804	68.93
53	56340	38500	68.34
54	57856	39196	67.75
55	59400	39888	67.15
56	60960	40580	66.57
57	62536	41276	66.00
58	64136	41972	65.44
59	65748	42668	64.90
60	67388	43360	64.34
61	69044	44056	63.81
62	70716	44756	63.29
63	72412	45448	62.76
64	74128	46144	62.25
65	75856	46840	61.75
66	77608	47552	61.27
67	79384	48268	60.80
68	81176	48976	60.33
69	82980	49696	59.89
70	84812	50408	59.43
71	86656	51128	59.00
72	88528	51844	58.56
73	90416	52556	58.13
74	92320	53276	57.71
75	94248	53992	57.29
76	96196	54704	56.87
77	98156	55428	56.47
78	100148	56132	56.05
79	102144	56860	55.67
80	104176	57572	55.26
81	106220	58292	54.88
82	108280	59008	54.50
83	110360	59716	54.11
84	112460	60436	53.74
85	114580	61156	53.37
86	116720	61872	53.01
87	118876	62588	52.65
88	121056	63304	52.29
89	123252	64020	51.94
90	125468	64736	51.60
91	127700	65456	51.26
92	129960	66172	50.92
93	132236	66896	50.59
94	134528	67608	50.26
95	134696	67696	50.26
96	134696	67724	50.28
97	134692	67772	50.32
98	134696	67776	50.32
99	134692	67804	50.34




