BOARD:    UNO R3
IDE:      1.8.19


Arduino\libraries\MultiMap\examples\multimap_BS_compare\multimap_BS_compare.ino
MULTIMAP_LIB_VERSION: 0.4.0

size	t1	t2	ratio
4	5732	5648	98.53
5	6288	6260	99.55
6	6868	6904	100.52
7	7456	7540	101.13
8	8064	8188	101.54
9	8704	8828	101.42
10	9356	9488	101.41
11	10032	10152	101.20
12	10720	10812	100.86
13	11428	11476	100.42
14	12156	12148	99.93
15	12908	12804	99.19
16	13680	13472	98.48
17	14464	14140	97.76
18	15268	14828	97.12
19	16096	15508	96.35
20	16944	16188	95.54
21	17804	16880	94.81
22	18684	17568	94.03
23	19592	18256	93.18
24	20516	18940	92.32
25	21456	19632	91.50
26	22416	20320	90.65
27	23396	21008	89.79
28	24400	21688	88.89
29	25420	22384	88.06
30	26460	23072	87.20
31	27520	23756	86.32
32	28600	24444	85.47
33	29696	25136	84.64
34	30808	25840	83.87
35	31948	26548	83.10
36	33100	27260	82.36
37	34276	27968	81.60
38	35472	28676	80.84
39	36684	29380	80.09
40	37916	30096	79.38
41	39168	30804	78.65
42	40436	31512	77.93
43	41732	32216	77.20
44	43040	32932	76.51
45	44368	33644	75.83
46	45724	34352	75.13
47	47088	35060	74.46
48	48476	35768	73.78
49	49880	36488	73.15
50	51308	37200	72.50
51	52752	37904	71.85
52	54220	38608	71.21
53	55708	39320	70.58
54	57208	40036	69.98
55	58728	40748	69.38
56	60272	41452	68.77
57	61836	42164	68.19
58	63416	42880	67.62
59	65020	43584	67.03
60	66636	44296	66.47
61	68276	45012	65.93
62	69936	45724	65.38
63	71616	46432	64.83
64	73308	47144	64.31
65	75028	47856	63.78
66	76764	48584	63.29
67	78520	49316	62.81
68	80300	50048	62.33
69	82088	50780	61.86
70	83904	51508	61.39
71	85736	52236	60.93
72	87592	52972	60.48
73	89456	53708	60.04
74	91352	54432	59.58
75	93260	55168	59.16
76	95192	55892	58.72
77	97140	56628	58.30
78	99104	57364	57.88
79	101092	58096	57.47
80	103104	58832	57.06
81	105124	59568	56.66
82	107180	60284	56.25
83	109240	61028	55.87
84	111332	61752	55.47
85	113436	62488	55.09
86	115548	63224	54.72
87	117700	63956	54.34
88	119860	64688	53.97
89	122048	65424	53.61
90	124240	66156	53.25
91	126464	66888	52.89
92	128704	67616	52.54
93	130964	68356	52.19
94	133240	69092	51.86
95	133404	69180	51.86
96	133404	69208	51.88
97	133404	69260	51.92
98	133404	69260	51.92
99	133408	69280	51.93

