TSL260R_demo.ino

TSL260R_LIB_VERSION: 0.1.0
       TSL260	TSL261	TSL262
Volt 	 uW/cm2
==============================
0.100	0.981	2.298	11.000
0.200	1.981	4.632	22.000
0.300	2.982	6.967	33.000
0.400	3.983	9.301	44.000
0.500	4.983	11.636	55.000
0.600	5.984	13.970	66.000
0.700	6.985	16.305	77.000
0.800	7.985	18.640	88.000
0.900	8.986	20.974	99.000
1.000	9.987	23.309	110.000
1.100	10.987	25.643	121.000
1.200	11.988	27.978	132.000
1.300	12.989	30.312	143.000
1.400	13.989	32.647	154.000
1.500	14.990	34.982	165.000
1.600	15.991	37.316	176.000
1.700	16.991	39.651	187.000
1.800	17.992	41.985	198.000
1.900	18.993	44.320	209.000
2.000	19.993	46.654	220.000
2.100	20.994	48.989	231.000
2.200	21.995	51.323	242.000
2.300	22.995	53.658	253.000
2.400	23.996	55.993	264.000
2.500	24.997	58.327	275.000
2.600	25.997	60.662	286.000
2.700	26.998	62.996	297.000
2.800	27.999	65.331	308.000
2.900	28.999	67.665	319.000
3.000	30.000	70.000	330.000

done...
