IDE:    1.8.19
BOARD:  UNO R3

Poisson_performance.ino
POISSON_LIB_VERSION: 0.1.0


EQUAL
0	0.0067	156
1	0.0337	200
2	0.0842	236
3	0.1404	284
4	0.1755	332
5	0.1755	372
6	0.1462	412
7	0.1044	456
8	0.0653	496
9	0.0363	540
10	0.0181	584
11	0.0082	632
12	0.0034	676
13	0.0013	716
14	0.0005	760
15	0.0002	796

EQUAL SMALLER
0	0.0067	160
1	0.0404	212
2	0.1247	264
3	0.2650	312
4	0.4405	360
5	0.6160	408
6	0.7622	460
7	0.8666	512
8	0.9319	564
9	0.9682	612
10	0.9863	660
11	0.9945	712
12	0.9980	768
13	0.9993	820
14	0.9998	868
15	0.9999	924

BETWEEN
0	0.9998	872
1	0.9930	872
2	0.9593	864
3	0.8751	856
4	0.7347	852
5	0.5593	840
6	0.3838	836
7	0.2376	824
8	0.1331	820
9	0.0679	812
10	0.0316	804
11	0.0135	800
12	0.0052	792
13	0.0018	788
14	0.0000	4
15	0.0000	4

done...
