IDE:    1.8.19
BOARD:  UNO R3

Poisson_performance.ino
POISSON_LIB_VERSION: 0.1.1


EQUAL
0	0.0067	8
1	0.0337	48
2	0.0842	92
3	0.1404	136
4	0.1755	180
5	0.1755	228
6	0.1462	268
7	0.1044	316
8	0.0653	356
9	0.0363	404
10	0.0181	448
11	0.0082	496
12	0.0034	540
13	0.0013	584
14	0.0005	628
15	0.0002	668

SMALLER EQUAL
0	0.0067	12
1	0.0404	64
2	0.1247	116
3	0.2650	172
4	0.4405	216
5	0.6160	268
6	0.7622	328
7	0.8666	384
8	0.9319	432
9	0.9682	480
10	0.9863	528
11	0.9945	588
12	0.9980	644
13	0.9993	696
14	0.9998	748
15	0.9999	800

BETWEEN
0	0.9998	752
1	0.9930	748
2	0.9593	732
3	0.8751	724
4	0.7347	724
5	0.5593	716
6	0.3838	712
7	0.2376	700
8	0.1331	688
9	0.0679	680
10	0.0316	676
11	0.0135	672
12	0.0052	660
13	0.0018	648
14	0.0000	4
15	0.0000	4

done...
