IDE:    1.8.19
BOARD:  UNO R3

Poisson_performance.ino
POISSON_LIB_VERSION: reference implementations.


EQUAL
0	0.0067	212
1	0.0337	560
2	0.0842	572
3	0.0936	588
4	0.0658	616
5	0.0337	632
6	0.0135	644
7	0.0045	676
8	0.0013	692
9	0.0003	712
10	0.0001	736
11	0.0000	752
12	0.0000	764
13	0.0000	800
14	0.0000	816
15	0.0000	828

SMALLER EQUAL
0	0.0067	216
1	0.0404	772
2	0.1247	1356
3	0.2182	1948
4	0.2840	2568
5	0.3177	3200
6	0.3313	3848
7	0.3357	4536
8	0.3370	5232
9	0.3373	5944
10	0.3374	6680
11	0.3374	7440
12	0.3374	8216
13	0.3374	9024
14	0.3374	9840
15	0.3374	10676


done...
