
Arduino UNO
IDE 1.18.19

ellipse_performance2.ino  (slightly edited)

  A      B      t  ECC       t  circum     t  Ramanu    t  Keppler    t  Parker
================================================================================
10.00, 10.00,   8, 0.0000,  96, 62.8319, 104, 62.8319, 28, 62.8319, 148, 62.8296
10.00,  9.50, 100, 0.3122, 104, 61.2711, 180, 61.2711, 28, 61.2611, 148, 61.2704
10.00,  9.00,  96, 0.4359, 100, 59.7316, 172, 59.7316, 28, 59.6903, 156, 59.7319
10.00,  8.50, 100, 0.5268,  96, 58.2150, 172, 58.2150, 28, 58.1195, 148, 58.2157
10.00,  8.00, 100, 0.6000, 100, 56.7233, 176, 56.7233, 28, 56.5487, 148, 56.7241
10.00,  7.50, 100, 0.6614, 104, 55.2587, 180, 55.2587, 32, 54.9779, 148, 55.2594
10.00,  7.00,  92, 0.7141, 100, 53.8237, 176, 53.8237, 28, 53.4071, 148, 53.8238
10.00,  6.50, 104, 0.7599,  96, 52.4210, 180, 52.4210, 28, 51.8363, 144, 52.4207
10.00,  6.00,  92, 0.8000, 100, 51.0540, 176, 51.0540, 32, 50.2655, 148, 51.0532
10.00,  5.50,  96, 0.8352, 100, 49.7262, 172, 49.7263, 28, 48.6947, 148, 49.7252
10.00,  5.00,  96, 0.8660, 100, 48.4421, 176, 48.4422, 24, 47.1239, 148, 48.4411
10.00,  4.50,  96, 0.8930, 100, 47.2066, 180, 47.2069, 24, 45.5531, 152, 47.2060
10.00,  4.00,  96, 0.9165, 100, 46.0256, 172, 46.0262, 24, 43.9823, 148, 46.0258
10.00,  3.50, 100, 0.9367,  96, 44.9062, 176, 44.9074, 28, 42.4115, 140, 44.9077
10.00,  3.00,  96, 0.9539, 104, 43.8567, 172, 43.8591, 28, 40.8407, 144, 43.8595
10.00,  2.50, 100, 0.9682, 100, 42.8875, 176, 42.8921, 28, 39.2699, 152, 42.8912
10.00,  2.00, 104, 0.9798, 100, 42.0112, 176, 42.0201, 28, 37.6991, 148, 42.0142
10.00,  1.50,  96, 0.9887,  96, 41.2437, 172, 41.2609, 28, 36.1283, 148, 41.2429
10.00,  1.00, 100, 0.9950, 100, 40.6055, 176, 40.6393, 28, 34.5575, 152, 40.5942
10.00,  0.50,  96, 0.9987,  96, 40.1234, 176, 40.1922, 28, 32.9867, 148, 40.0895


Done...
